pen|any of various instruments for writing or drawing with ink or a similar substance.
servant|a person employed by another, especially to perform domestic duties.
rail|a bar of wood or metal fixed horizontally for any of various purposes, as for a support, barrier, fence, or railing.
building|a relatively permanent enclosed construction over a plot of land, having a roof and usually windows and often more than one level, used for any of a wide variety of activities, as living, entertaining, or manufacturing.
twist|to combine, as two or more strands or threads, by winding together; intertwine.
love|a profoundly tender, passionate affection for another person.
dock|a landing pier.
pet|any domesticated or tamed animal that is kept as a companion and cared for affectionately.
sky|the region of the clouds or the upper air; the upper atmosphere of the earth: airplanes in the sky; cloudy skies.
cent|a bronze coin of the U.S., the 100th part of a U.S. dollar: made of steel during part of 1943.
stick|a branch or shoot of a tree or shrub that has been cut or broken off.
surprise|to strike or occur to with a sudden feeling of wonder or astonishment, as through unexpectedness: Her beauty surprised me.
fear|a distressing emotion aroused by impending danger, evil, pain, etc., whether the threat is real or imagined; the feeling or condition of being afraid.
industry|the aggregate of manufacturing or technically productive enterprises in a particular field, often named after its principal product: the automobile industry; the steel industry.
sack|a large bag of strong, coarsely woven material, as for grain, potatoes, or coal.
honey|a sweet, viscid fluid produced by bees from the nectar collected from flowers, and stored in nests or hives as food.
mine|a form of the possessive case of I used as a predicate adjective: The yellow sweater is mine.
loss|detriment, disadvantage, or deprivation from failure to keep, have, or get: to bear the loss of a robbery.
pin|a small, slender, often pointed piece of wood, metal, etc., used to fasten, support, or attach things.
glass|a hard, brittle, noncrystalline, more or less transparent substance produced by fusion, usually consisting of mutually dissolved silica and silicates that also contain soda and lime, as in the ordinary variety used for windows and bottles.
top|the highest or loftiest point or part of anything; apex; summit.
taste|to try or test the flavor or quality of (something) by taking some into the mouth: to taste food.
appliance|an instrument, apparatus, or device for a particular purpose or use.
sister|a female offspring having both parents in common with another offspring; female sibling.
thread|a fine cord of flax, cotton, or other fibrous material spun out to considerable length, especially when composed of two or more filaments twisted together.
machine|an apparatus consisting of interrelated parts with separate functions, used in the performance of some kind of work: a sewing machine.
invention|the act of inventing.
crate|a slatted wooden box or framework for packing, shopping, or storing fruit, furniture, glassware, crockery, etc.
dad|a person's father or one's father.
breath|the air inhaled and exhaled in respiration.
power|ability to do or act; capability of doing or accomplishing something.
fact|something that actually exists; reality; truth: Your fears have no basis in fact.
crowd|a large number of persons gathered closely together; throng: a crowd of angry people.
head|the upper part of the body in humans, joined to the trunk by the neck, containing the brain, eyes, ears, nose, and mouth.
orange|a globose, reddish-yellow, bitter or sweet, edible citrus fruit.
hole|an opening through something; gap; aperture: a hole in the roof; a hole in my sock.
blade|the flat cutting part of a sword, knife, etc.
number|a numeral or group of numerals.
spot|a rounded mark or stain made by foreign matter, as mud, blood, paint, ink, etc.; a blot or speck.
umbrella|a light, small, portable, usually circular cover for protection from rain or sun, consisting of a fabric held on a collapsible frame of thin ribs radiating from the top of a carrying stick or handle.
coal|a black or dark-brown combustible mineral substance consisting of carbonized vegetable matter, used as a fuel.
popcorn|any of several varieties of corn whose kernels burst open and puff out when subjected to dry heat.
cars|an automobile.
teeth|plural of tooth.
pan|a broad, shallow container of metal, usually having sides flaring outward toward the top, used in various forms for frying, baking, washing, etc.
sleet|precipitation in the form of ice pellets created by the freezing of rain as it falls (distinguished from hail2).
motion|the action or process of moving or of changing place or position; movement.
person|a human being, whether an adult or child: The table seats four persons.
reaction|a reverse movement or tendency; an action in a reverse direction or manner.
achiever|to bring to a successful end; carry through; accomplish: The police crackdown on speeders achieved its purpose.
prose|the ordinary form of spoken or written language, without metrical structure, as distinguished from poetry or verse.
fuel|combustible matter used to maintain fire, as coal, wood, oil, or gas, in order to create heat or power.
pipe|a hollow cylinder of metal, wood, or other material, used for the conveyance of water, gas, steam, petroleum, etc.
smell|to perceive the odor or scent of through the nose by means of the olfactory nerves; inhale the odor of: I smell something burning.
wheel|a circular frame or disk arranged to revolve on an axis, as on or in vehicles or machinery.
force|physical power or strength possessed by a living being: He used all his force in opening the window.
memory|the mental capacity or faculty of retaining and reviving facts, events, impressions, etc., or of recalling or recognizing previous experiences.
crow|any of several large oscine birds of the genus Corvus, of the family Corvidae, having a long, stout bill, lustrous black plumage, and a wedge-shaped tail, as the common C. brachyrhynchos, of North America.
mass|a body of coherent matter, usually of indefinite shape and often of considerable size: a mass of dough.
dolls|a small figure representing a baby or other human being, especially for use as a child's toy.
sugar|a sweet, crystalline substance, C12H22O11, obtained chiefly from the juice of the sugarcane  and the sugar beet,  and present in sorghum, maple sap, etc.: used extensively as an ingredient and flavoring of certain foods and as a fermenting agent in the manufacture of certain alcoholic beverages; sucrose.
run|to go quickly by moving the legs more rapidly than at a walk and in such a manner that for an instant in each step all or both feet are off the ground.
bear|to hold up; support: to bear the weight of the roof.
lettuce|a cultivated plant, Lactuca sativa, occurring in many varieties and having succulent leaves used for salads.
oil|any of a large class of substances typically unctuous, viscous, combustible, liquid at ordinary temperatures, and soluble in ether or alcohol but not in water: used for anointing, perfuming, lubricating, illuminating, heating, etc.
secretary|a person, usually an official, who is in charge of the records, correspondence, minutes of meetings, and related affairs of an organization, company, association, etc.: the secretary of the Linguistic Society of America.
wine|the fermented juice of grapes, made in many varieties, such as red, white, sweet, dry, still, and sparkling, for use as a beverage, in cooking, in religious rites, etc., and usually having an alcoholic content of 14 percent or less.
middle|equally distant from the extremes or outer limits; central: the middle point of a line; the middle singer in a trio.
birth|an act or instance of being born: the day of his birth.
plantation|a usually large farm or estate, especially in a tropical or semitropical country, on which cotton, tobacco, coffee, sugar cane, or the like is cultivated, usually by resident laborers.
seed|the fertilized, matured ovule of a flowering plant, containing an embryo or rudimentary plant.
laugh|to express mirth, pleasure, derision, or nervousness with an audible, vocal expulsion of air from the lungs that can range from a loud burst of sound to a series of quiet chuckles and is usually accompanied by characteristic facial and bodily movements.
jar|a broad-mouthed container, usually cylindrical and of glass or earthenware: a cookie jar.
support|to bear or hold up (a load, mass, structure, part, etc.); serve as a foundation for.
home|a house, apartment, or other shelter that is the usual residence of a person, family, or household.
dirt|any foul or filthy substance, as mud, grime, dust, or excrement.
cushion|a soft bag of cloth, leather, or rubber, filled with feathers, air, foam rubber, etc., on which to sit, kneel, or lie.
cart|a heavy two-wheeled vehicle, commonly without springs, drawn by mules, oxen, or the like, used for the conveyance of heavy goods.
arm|the upper limb of the human body, especially the part extending from the shoulder to the wrist.
bag|a container or receptacle of leather, plastic, cloth, paper, etc., capable of being closed at the mouth; pouch.
sponge|any aquatic, chiefly marine animal of the phylum Porifera, having a porous structure and usually a horny, siliceous or calcareous internal skeleton or framework, occurring in large, sessile colonies.
gun|a weapon consisting of a metal tube, with mechanical attachments, from which projectiles are shot by the force of an explosive; a piece of ordnance.
branch|a division or subdivision of the stem or axis of a tree, shrub, or other plant.
